,JobCategory_ID,Job_Title,Company,City,TechHub_ID
231,4,Accounts Receivable Manager,Arrive Logistics,Austin,0
232,4,Accounting Manager,Literati,Austin,0
233,4,Accounts Receivable/Payable Specialist,Homeward,Austin,0
234,4,Procurement Analyst,Cloudflare,Austin,0
235,4,Accounts Payable Specialist,FRONTSTEPS,Greater Denver Area,3
236,4,Director of Finance,Bonusly,Greater Boulder Area,3
237,4,Accounts Receivable Specialist,Hotel Engine,Greater Denver Area,3
238,4,Indirect Tax Manager,Evolve Vacation Rental,Greater Denver Area,3
239,4,Staff Accountant,Sovrn,Greater Boulder Area,3
240,4,FP&A Director,Frame.io,Greater NYC Area,5
241,4,Senior Accountant,MealPal,Greater NYC Area,5
242,4,FP&A Manager,Betterment,Greater NYC Area,5
243,4,"Director, Financial Planning and Analysis",The Trade Desk,Greater NYC Area,5
244,4,Revenue Operations Manager,Dashlane,Greater NYC Area,5
245,4,Staff Accountant,Postmates,San Francisco,6
246,4,Sr. Financial Analyst,Glu Mobile,San Francisco,6
247,4,"Director, Internal Audit",Unity Technologies,San Francisco,6
248,4,"Manager, Pricing & Promotions",Cisco Meraki,San Francisco,6
249,4,"Director, Revenue Growth",DoorDash,San Francisco,6
250,4,Billing & AR Specialist,Recurly,San Francisco,6
251,4,Transaction Coordinator - Cash Close,HomeLight,San Francisco,6
252,4,Staff Accountant,Postmates,San Francisco,6
253,4,"Manager, Pricing & Promotions",Cisco Meraki,San Francisco,6
254,4,"Director, Revenue Growth",DoorDash,San Francisco,6
255,4,Sr. Global Transaction Manager,Snap Inc.,San Francisco,6
256,4,Transaction Coordinator - Cash Close,HomeLight,San Francisco,6
257,4,Staff Accountant,Postmates,San Francisco,6
258,4,"Manager, Pricing & Promotions",Cisco Meraki,San Francisco,6
259,4,"Director, Revenue Growth",DoorDash,San Francisco,6
260,4,Revenue Operations Analyst,Grammarly,San Francisco,6
261,4,"Manager, Pricing & Promotions",Cisco Meraki,San Francisco,6
262,4,"Director, Revenue Growth",DoorDash,San Francisco,6
263,4,Indirect Tax Manager,DoorDash,San Francisco,6
264,4,Indirect Tax Analyst,DoorDash,San Francisco,6
